epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1592533079593,2020-06-19T12.17.59.593,0.000,0.044,-0.342,-0.890
1592533079604,2020-06-19T12.17.59.604,0.011,0.045,-0.340,-0.896
1592533079614,2020-06-19T12.17.59.614,0.021,0.042,-0.337,-0.895
1592533079624,2020-06-19T12.17.59.624,0.031,0.041,-0.335,-0.893
1592533079634,2020-06-19T12.17.59.634,0.041,0.040,-0.343,-0.895
1592533079645,2020-06-19T12.17.59.645,0.052,0.042,-0.344,-0.897
1592533079655,2020-06-19T12.17.59.655,0.062,0.041,-0.335,-0.896
1592533079665,2020-06-19T12.17.59.665,0.072,0.041,-0.333,-0.898
1592533079675,2020-06-19T12.17.59.675,0.082,0.042,-0.339,-0.905
1592533079686,2020-06-19T12.17.59.686,0.093,0.044,-0.340,-0.897
1592533079696,2020-06-19T12.17.59.696,0.103,0.043,-0.323,-0.895
1592533079705,2020-06-19T12.17.59.705,0.112,0.037,-0.344,-0.900
1592533079715,2020-06-19T12.17.59.715,0.122,0.046,-0.336,-0.894
1592533079725,2020-06-19T12.17.59.725,0.132,0.037,-0.337,-0.892
1592533079736,2020-06-19T12.17.59.736,0.143,0.032,-0.329,-0.892
1592533079746,2020-06-19T12.17.59.746,0.153,0.035,-0.337,-0.902
1592533079756,2020-06-19T12.17.59.756,0.163,0.034,-0.346,-0.905
1592533079766,2020-06-19T12.17.59.766,0.173,0.034,-0.337,-0.897
1592533079777,2020-06-19T12.17.59.777,0.184,0.037,-0.335,-0.896
1592533079787,2020-06-19T12.17.59.787,0.194,0.040,-0.337,-0.897
1592533079797,2020-06-19T12.17.59.797,0.204,0.042,-0.339,-0.901
1592533079807,2020-06-19T12.17.59.807,0.214,0.038,-0.341,-0.896
1592533079818,2020-06-19T12.17.59.818,0.225,0.039,-0.346,-0.890
1592533079828,2020-06-19T12.17.59.828,0.235,0.037,-0.347,-0.888
1592533079838,2020-06-19T12.17.59.838,0.245,0.036,-0.352,-0.890
1592533079847,2020-06-19T12.17.59.847,0.254,0.032,-0.348,-0.891
1592533079857,2020-06-19T12.17.59.857,0.264,0.029,-0.341,-0.898
1592533079867,2020-06-19T12.17.59.867,0.274,0.032,-0.339,-0.897
1592533079878,2020-06-19T12.17.59.878,0.285,0.035,-0.341,-0.899
1592533079888,2020-06-19T12.17.59.888,0.295,0.035,-0.338,-0.893
1592533079898,2020-06-19T12.17.59.898,0.305,0.033,-0.339,-0.886
1592533079908,2020-06-19T12.17.59.908,0.315,0.036,-0.347,-0.894
1592533079919,2020-06-19T12.17.59.919,0.326,0.040,-0.345,-0.898
1592533079929,2020-06-19T12.17.59.929,0.336,0.038,-0.337,-0.899
1592533079939,2020-06-19T12.17.59.939,0.346,0.040,-0.336,-0.898
1592533079949,2020-06-19T12.17.59.949,0.356,0.041,-0.340,-0.896
1592533079960,2020-06-19T12.17.59.960,0.367,0.041,-0.342,-0.894
1592533079970,2020-06-19T12.17.59.970,0.377,0.038,-0.342,-0.895
1592533079979,2020-06-19T12.17.59.979,0.386,0.036,-0.338,-0.894
1592533079989,2020-06-19T12.17.59.989,0.396,0.036,-0.346,-0.896
1592533079999,2020-06-19T12.17.59.999,0.406,0.034,-0.350,-0.892
1592533080009,2020-06-19T12.18.00.009,0.416,0.038,-0.350,-0.890
1592533080020,2020-06-19T12.18.00.020,0.427,0.042,-0.351,-0.889
1592533080030,2020-06-19T12.18.00.030,0.437,0.044,-0.352,-0.895
1592533080040,2020-06-19T12.18.00.040,0.447,0.044,-0.347,-0.896
1592533080050,2020-06-19T12.18.00.050,0.457,0.042,-0.342,-0.894
1592533080061,2020-06-19T12.18.00.061,0.468,0.041,-0.335,-0.896
1592533080071,2020-06-19T12.18.00.071,0.478,0.037,-0.331,-0.896
1592533080081,2020-06-19T12.18.00.081,0.488,0.038,-0.341,-0.894
1592533080092,2020-06-19T12.18.00.092,0.499,0.038,-0.343,-0.892
1592533080102,2020-06-19T12.18.00.102,0.509,0.034,-0.342,-0.894
1592533080112,2020-06-19T12.18.00.112,0.519,0.037,-0.337,-0.895
1592533080121,2020-06-19T12.18.00.121,0.528,0.037,-0.338,-0.897
1592533080131,2020-06-19T12.18.00.131,0.538,0.041,-0.337,-0.898
1592533080141,2020-06-19T12.18.00.141,0.548,0.044,-0.334,-0.896
1592533080152,2020-06-19T12.18.00.152,0.559,0.040,-0.335,-0.896
1592533080162,2020-06-19T12.18.00.162,0.569,0.042,-0.334,-0.898
1592533080172,2020-06-19T12.18.00.172,0.579,0.043,-0.337,-0.900
1592533080182,2020-06-19T12.18.00.182,0.589,0.038,-0.334,-0.896
1592533080193,2020-06-19T12.18.00.193,0.600,0.041,-0.339,-0.896
1592533080203,2020-06-19T12.18.00.203,0.610,0.040,-0.343,-0.897
1592533080213,2020-06-19T12.18.00.213,0.620,0.036,-0.350,-0.888
1592533080223,2020-06-19T12.18.00.223,0.630,0.034,-0.354,-0.892
1592533080234,2020-06-19T12.18.00.234,0.641,0.031,-0.351,-0.889
