epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1592533079593,2020-06-19T12.17.59.593,0.000,0.427,-1.585,0.000
1592533079604,2020-06-19T12.17.59.604,0.011,-0.122,-1.646,0.244
1592533079614,2020-06-19T12.17.59.614,0.021,-0.061,-1.524,-0.427
1592533079624,2020-06-19T12.17.59.624,0.031,0.061,-1.524,-0.366
1592533079634,2020-06-19T12.17.59.634,0.041,-0.122,-1.585,-0.427
1592533079645,2020-06-19T12.17.59.645,0.052,-0.244,-1.524,-0.366
1592533079655,2020-06-19T12.17.59.655,0.062,0.061,-1.585,-0.183
1592533079665,2020-06-19T12.17.59.665,0.072,0.000,-1.829,-0.305
1592533079675,2020-06-19T12.17.59.675,0.082,-0.793,-2.561,-0.244
1592533079686,2020-06-19T12.17.59.686,0.093,-3.049,-3.963,0.122
1592533079696,2020-06-19T12.17.59.696,0.103,2.195,-2.866,0.061
1592533079705,2020-06-19T12.17.59.705,0.112,1.280,-3.171,0.610
1592533079715,2020-06-19T12.17.59.715,0.122,1.159,-3.598,0.854
1592533079725,2020-06-19T12.17.59.725,0.132,0.366,-3.354,0.671
1592533079736,2020-06-19T12.17.59.736,0.143,0.305,-2.622,0.427
1592533079746,2020-06-19T12.17.59.746,0.153,0.488,-1.646,-0.183
1592533079756,2020-06-19T12.17.59.756,0.163,1.159,-1.402,-0.061
1592533079766,2020-06-19T12.17.59.766,0.173,1.829,-1.524,0.061
1592533079777,2020-06-19T12.17.59.777,0.184,1.768,-1.463,-0.244
1592533079787,2020-06-19T12.17.59.787,0.194,2.256,-1.707,-0.244
1592533079797,2020-06-19T12.17.59.797,0.204,2.561,-2.317,-0.122
1592533079807,2020-06-19T12.17.59.807,0.214,3.049,-2.744,0.122
1592533079818,2020-06-19T12.17.59.818,0.225,2.805,-2.622,0.061
1592533079828,2020-06-19T12.17.59.828,0.235,1.341,-1.890,0.000
1592533079838,2020-06-19T12.17.59.838,0.245,0.061,-1.098,0.000
1592533079847,2020-06-19T12.17.59.847,0.254,-0.671,-0.183,-0.305
1592533079857,2020-06-19T12.17.59.857,0.264,-0.976,0.488,-0.488
1592533079867,2020-06-19T12.17.59.867,0.274,-0.671,0.610,-0.610
1592533079878,2020-06-19T12.17.59.878,0.285,-0.305,0.488,-0.854
1592533079888,2020-06-19T12.17.59.888,0.295,-0.061,0.183,-0.976
1592533079898,2020-06-19T12.17.59.898,0.305,0.061,0.061,-1.037
1592533079908,2020-06-19T12.17.59.908,0.315,-0.427,0.488,-0.854
1592533079919,2020-06-19T12.17.59.919,0.326,-0.549,0.610,-0.915
1592533079929,2020-06-19T12.17.59.929,0.336,-0.061,0.183,-0.854
1592533079939,2020-06-19T12.17.59.939,0.346,0.488,0.000,-0.732
1592533079949,2020-06-19T12.17.59.949,0.356,0.732,-0.061,-0.549
1592533079960,2020-06-19T12.17.59.960,0.367,0.610,0.000,-0.305
1592533079970,2020-06-19T12.17.59.970,0.377,0.122,0.061,-0.183
1592533079980,2020-06-19T12.17.59.980,0.387,0.305,0.549,-0.427
1592533079989,2020-06-19T12.17.59.989,0.396,0.183,0.915,-0.732
1592533079999,2020-06-19T12.17.59.999,0.406,0.122,1.037,-0.854
1592533080009,2020-06-19T12.18.00.009,0.416,0.061,0.976,-1.098
1592533080020,2020-06-19T12.18.00.020,0.427,-0.427,0.732,-1.402
1592533080030,2020-06-19T12.18.00.030,0.437,-0.793,0.305,-1.463
1592533080040,2020-06-19T12.18.00.040,0.447,-1.037,-0.183,-1.341
1592533080050,2020-06-19T12.18.00.050,0.457,-1.159,-0.610,-1.159
1592533080061,2020-06-19T12.18.00.061,0.468,-1.280,-0.915,-1.098
1592533080071,2020-06-19T12.18.00.071,0.478,-0.793,-1.159,-1.098
1592533080081,2020-06-19T12.18.00.081,0.488,-0.671,-1.463,-1.037
1592533080092,2020-06-19T12.18.00.092,0.499,-0.854,-1.098,-0.854
1592533080102,2020-06-19T12.18.00.102,0.509,-0.915,-0.610,-0.732
1592533080112,2020-06-19T12.18.00.112,0.519,-0.854,-0.671,-0.732
1592533080121,2020-06-19T12.18.00.121,0.528,-0.854,-0.610,-0.732
1592533080131,2020-06-19T12.18.00.131,0.538,-0.671,-0.488,-0.610
1592533080141,2020-06-19T12.18.00.141,0.548,-0.122,-0.549,-0.427
1592533080152,2020-06-19T12.18.00.152,0.559,0.122,-0.732,-0.183
1592533080162,2020-06-19T12.18.00.162,0.569,0.671,-0.976,0.122
1592533080172,2020-06-19T12.18.00.172,0.579,1.280,-1.159,0.610
1592533080182,2020-06-19T12.18.00.182,0.589,1.768,-1.402,0.732
1592533080193,2020-06-19T12.18.00.193,0.600,2.012,-1.646,0.854
1592533080203,2020-06-19T12.18.00.203,0.610,2.195,-1.829,0.976
1592533080213,2020-06-19T12.18.00.213,0.620,2.866,-1.951,1.037
1592533080223,2020-06-19T12.18.00.223,0.630,1.646,-1.463,0.549
1592533080234,2020-06-19T12.18.00.234,0.641,1.159,-1.037,0.305
1592533080244,2020-06-19T12.18.00.244,0.651,0.915,-0.915,0.122
1592533080254,2020-06-19T12.18.00.254,0.661,0.610,-1.037,-0.122
1592533080263,2020-06-19T12.18.00.263,0.670,0.488,-1.220,-0.183
1592533080273,2020-06-19T12.18.00.273,0.680,1.098,-1.402,-0.061
1592533080283,2020-06-19T12.18.00.283,0.690,1.890,-1.402,0.122
1592533080294,2020-06-19T12.18.00.294,0.701,3.171,-1.646,0.183
1592533080304,2020-06-19T12.18.00.304,0.711,3.659,-1.951,0.061
1592533080314,2020-06-19T12.18.00.314,0.721,2.988,-1.890,0.000
1592533080324,2020-06-19T12.18.00.324,0.731,2.317,-1.829,0.122
1592533080335,2020-06-19T12.18.00.335,0.742,0.793,-1.159,0.000
1592533080345,2020-06-19T12.18.00.345,0.752,-0.488,-0.305,-0.122
1592533080355,2020-06-19T12.18.00.355,0.762,-0.427,-0.366,-0.183
1592533080365,2020-06-19T12.18.00.365,0.772,-0.366,-0.732,-0.061
1592533080376,2020-06-19T12.18.00.376,0.783,-0.122,-0.671,-0.183
1592533080386,2020-06-19T12.18.00.386,0.793,0.183,-0.305,-0.610
1592533080396,2020-06-19T12.18.00.396,0.803,-0.671,0.061,-0.915
1592533080405,2020-06-19T12.18.00.405,0.812,-0.976,0.122,-0.793
1592533080415,2020-06-19T12.18.00.415,0.822,-0.671,0.061,-0.976
1592533080425,2020-06-19T12.18.00.425,0.832,-1.037,0.305,-1.220
1592533080436,2020-06-19T12.18.00.436,0.843,-1.768,0.549,-1.341
1592533080446,2020-06-19T12.18.00.446,0.853,-2.256,0.793,-1.341
1592533080456,2020-06-19T12.18.00.456,0.863,-2.012,0.732,-1.159
1592533080467,2020-06-19T12.18.00.467,0.874,-1.768,0.671,-1.098
1592533080477,2020-06-19T12.18.00.477,0.884,-1.402,0.549,-1.098
1592533080487,2020-06-19T12.18.00.487,0.894,-1.159,0.244,-0.854
1592533080497,2020-06-19T12.18.00.497,0.904,-0.976,-0.061,-0.610
1592533080508,2020-06-19T12.18.00.508,0.915,-0.610,-0.244,-0.427
1592533080518,2020-06-19T12.18.00.518,0.925,-0.427,-0.549,-0.305
1592533080528,2020-06-19T12.18.00.528,0.935,0.000,-0.854,-0.061
1592533080537,2020-06-19T12.18.00.537,0.944,0.122,-1.037,-0.061
1592533080547,2020-06-19T12.18.00.547,0.954,-0.305,-0.915,-0.122
1592533080557,2020-06-19T12.18.00.557,0.964,-0.488,-0.793,-0.305
1592533080568,2020-06-19T12.18.00.568,0.975,-0.549,-0.915,-0.366
1592533080578,2020-06-19T12.18.00.578,0.985,-0.610,-1.159,-0.305
1592533080588,2020-06-19T12.18.00.588,0.995,-0.427,-1.280,-0.366
1592533080598,2020-06-19T12.18.00.598,1.005,-0.488,-1.280,-0.427
1592533080609,2020-06-19T12.18.00.609,1.016,-0.610,-1.341,-0.244
1592533080619,2020-06-19T12.18.00.619,1.026,-0.061,-1.646,0.061
1592533080629,2020-06-19T12.18.00.629,1.036,0.488,-1.707,0.000
1592533080639,2020-06-19T12.18.00.639,1.046,0.854,-1.951,-0.122
1592533080650,2020-06-19T12.18.00.650,1.057,0.854,-1.768,-0.122
1592533080660,2020-06-19T12.18.00.660,1.067,0.427,-1.280,-0.183
1592533080670,2020-06-19T12.18.00.670,1.077,-0.244,-0.366,-0.549
1592533080679,2020-06-19T12.18.00.679,1.086,-0.549,0.122,-0.854
1592533080689,2020-06-19T12.18.00.689,1.096,-0.915,0.000,-1.098
1592533080699,2020-06-19T12.18.00.699,1.106,-0.854,-0.122,-1.220
1592533080710,2020-06-19T12.18.00.710,1.117,-0.732,-0.061,-1.341
1592533080720,2020-06-19T12.18.00.720,1.127,-0.732,-0.061,-0.976
1592533080730,2020-06-19T12.18.00.730,1.137,-1.098,0.305,0.122
1592533080740,2020-06-19T12.18.00.740,1.147,-2.317,0.915,1.768
1592533080751,2020-06-19T12.18.00.751,1.158,-1.890,1.890,2.500
1592533080761,2020-06-19T12.18.00.761,1.168,-0.976,1.402,1.768
1592533080771,2020-06-19T12.18.00.771,1.178,0.244,0.488,1.037
1592533080781,2020-06-19T12.18.00.781,1.188,0.915,0.305,0.610
1592533080792,2020-06-19T12.18.00.792,1.199,-0.122,0.610,0.061
1592533080802,2020-06-19T12.18.00.802,1.209,-0.854,0.427,-0.427
1592533080812,2020-06-19T12.18.00.812,1.219,-0.793,0.183,-0.732
1592533080821,2020-06-19T12.18.00.821,1.228,-0.732,0.000,-0.915
1592533080831,2020-06-19T12.18.00.831,1.238,-0.732,-0.305,-0.976
1592533080842,2020-06-19T12.18.00.842,1.249,-0.854,-1.280,-1.037
1592533080852,2020-06-19T12.18.00.852,1.259,-0.122,-1.341,-0.976
1592533080862,2020-06-19T12.18.00.862,1.269,0.427,-1.707,-0.732
1592533080872,2020-06-19T12.18.00.872,1.279,1.341,-2.073,-0.366
1592533080883,2020-06-19T12.18.00.883,1.290,1.524,-2.012,-0.427
1592533080893,2020-06-19T12.18.00.893,1.300,2.134,-2.195,0.000
1592533080903,2020-06-19T12.18.00.903,1.310,3.354,-2.073,0.427
1592533080913,2020-06-19T12.18.00.913,1.320,3.598,-2.134,0.488
1592533080924,2020-06-19T12.18.00.924,1.331,2.683,-1.524,0.122
1592533080934,2020-06-19T12.18.00.934,1.341,2.256,-0.976,0.061
1592533080944,2020-06-19T12.18.00.944,1.351,3.232,-1.220,0.366
1592533080954,2020-06-19T12.18.00.954,1.361,3.354,-1.524,0.305
1592533080963,2020-06-19T12.18.00.963,1.370,2.988,-1.341,-0.183
1592533080973,2020-06-19T12.18.00.973,1.380,2.500,-1.098,-0.061
1592533080984,2020-06-19T12.18.00.984,1.391,2.256,-1.220,0.183
1592533080994,2020-06-19T12.18.00.994,1.401,1.768,-1.159,0.061
