epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1592533079558,2020-06-19T12.17.59.558,0.000,-0.000134625,-0.000177625,-0.000283563
1592533079598,2020-06-19T12.17.59.598,0.040,-0.000134625,-0.000179438,-0.000283313
1592533079639,2020-06-19T12.17.59.639,0.081,-0.000137188,-0.000179813,-0.000283375
1592533079678,2020-06-19T12.17.59.678,0.120,-0.000135750,-0.000178375,-0.000284188
1592533079719,2020-06-19T12.17.59.719,0.161,-0.000135375,-0.000179063,-0.000283000
1592533079759,2020-06-19T12.17.59.759,0.201,-0.000133938,-0.000178375,-0.000282313
1592533079800,2020-06-19T12.17.59.800,0.242,-0.000133938,-0.000178375,-0.000283063
1592533079840,2020-06-19T12.17.59.840,0.282,-0.000134625,-0.000178750,-0.000283875
1592533079881,2020-06-19T12.17.59.881,0.323,-0.000134625,-0.000179438,-0.000282375
1592533079920,2020-06-19T12.17.59.920,0.362,-0.000134625,-0.000178750,-0.000283063
1592533079961,2020-06-19T12.17.59.961,0.403,-0.000135000,-0.000177250,-0.000283063
1592533080001,2020-06-19T12.18.00.001,0.443,-0.000136438,-0.000177313,-0.000282375
1592533080042,2020-06-19T12.18.00.042,0.484,-0.000133938,-0.000179438,-0.000282000
1592533080081,2020-06-19T12.18.00.081,0.523,-0.000134313,-0.000179438,-0.000283875
1592533080122,2020-06-19T12.18.00.122,0.564,-0.000135750,-0.000177625,-0.000282375
1592533080162,2020-06-19T12.18.00.162,0.604,-0.000134625,-0.000179438,-0.000282813
1592533080203,2020-06-19T12.18.00.203,0.645,-0.000134625,-0.000179813,-0.000281625
1592533080244,2020-06-19T12.18.00.244,0.686,-0.000134625,-0.000179125,-0.000282438
1592533080283,2020-06-19T12.18.00.283,0.725,-0.000133188,-0.000178000,-0.000282813
1592533080324,2020-06-19T12.18.00.324,0.766,-0.000134625,-0.000178750,-0.000282063
1592533080364,2020-06-19T12.18.00.364,0.806,-0.000135000,-0.000176938,-0.000281688
1592533080405,2020-06-19T12.18.00.405,0.847,-0.000134625,-0.000178000,-0.000281313
1592533080445,2020-06-19T12.18.00.445,0.887,-0.000135375,-0.000178375,-0.000282000
1592533080486,2020-06-19T12.18.00.486,0.928,-0.000134625,-0.000178375,-0.000282438
1592533080525,2020-06-19T12.18.00.525,0.967,-0.000133563,-0.000180188,-0.000282000
1592533080566,2020-06-19T12.18.00.566,1.008,-0.000133938,-0.000179813,-0.000282438
1592533080606,2020-06-19T12.18.00.606,1.048,-0.000134625,-0.000184875,-0.000282438
1592533080647,2020-06-19T12.18.00.647,1.089,-0.000134625,-0.000183438,-0.000283250
1592533080686,2020-06-19T12.18.00.686,1.128,-0.000135375,-0.000178375,-0.000282438
1592533080727,2020-06-19T12.18.00.727,1.169,-0.000134625,-0.000178000,-0.000282875
1592533080767,2020-06-19T12.18.00.767,1.209,-0.000136813,-0.000179813,-0.000283688
1592533080808,2020-06-19T12.18.00.808,1.250,-0.000137563,-0.000178750,-0.000282500
1592533080847,2020-06-19T12.18.00.847,1.289,-0.000135750,-0.000178375,-0.000283250
1592533080888,2020-06-19T12.18.00.888,1.330,-0.000133188,-0.000178000,-0.000283250
1592533080928,2020-06-19T12.18.00.928,1.370,-0.000134625,-0.000178375,-0.000282063
1592533080969,2020-06-19T12.18.00.969,1.411,-0.000134313,-0.000178750,-0.000282875
1592533081008,2020-06-19T12.18.01.008,1.450,-0.000133563,-0.000178375,-0.000282063
1592533081050,2020-06-19T12.18.01.050,1.492,-0.000134313,-0.000178750,-0.000282063
1592533081091,2020-06-19T12.18.01.091,1.533,-0.000133938,-0.000177313,-0.000282438
1592533081130,2020-06-19T12.18.01.130,1.572,-0.000133938,-0.000179813,-0.000281688
1592533081171,2020-06-19T12.18.01.171,1.613,-0.000135375,-0.000178000,-0.000281688
1592533081211,2020-06-19T12.18.01.211,1.653,-0.000133563,-0.000179813,-0.000282438
1592533081252,2020-06-19T12.18.01.252,1.694,-0.000134313,-0.000180188,-0.000282438
1592533081291,2020-06-19T12.18.01.291,1.733,-0.000135000,-0.000177688,-0.000282063
1592533081332,2020-06-19T12.18.01.332,1.774,-0.000132875,-0.000180188,-0.000282875
1592533081372,2020-06-19T12.18.01.372,1.814,-0.000134313,-0.000178375,-0.000282875
1592533081413,2020-06-19T12.18.01.413,1.855,-0.000135000,-0.000179813,-0.000282438
