epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1592533079596,2020-06-19T12.17.59.596,0.000,0.019,0.346,-0.907
1592533079606,2020-06-19T12.17.59.606,0.010,0.019,0.360,-0.908
1592533079616,2020-06-19T12.17.59.616,0.020,0.018,0.367,-0.903
1592533079627,2020-06-19T12.17.59.627,0.031,0.015,0.362,-0.899
1592533079637,2020-06-19T12.17.59.637,0.041,0.017,0.345,-0.903
1592533079647,2020-06-19T12.17.59.647,0.051,0.006,0.335,-0.914
1592533079658,2020-06-19T12.17.59.658,0.062,0.005,0.333,-0.920
1592533079668,2020-06-19T12.17.59.668,0.072,0.004,0.341,-0.911
1592533079678,2020-06-19T12.17.59.678,0.082,0.002,0.338,-0.899
1592533079687,2020-06-19T12.17.59.687,0.091,0.007,0.346,-0.903
1592533079697,2020-06-19T12.17.59.697,0.101,0.017,0.358,-0.909
1592533079707,2020-06-19T12.17.59.707,0.111,0.016,0.357,-0.908
1592533079718,2020-06-19T12.17.59.718,0.122,0.016,0.356,-0.909
1592533079728,2020-06-19T12.17.59.728,0.132,0.020,0.350,-0.907
1592533079738,2020-06-19T12.17.59.738,0.142,0.020,0.346,-0.906
1592533079748,2020-06-19T12.17.59.748,0.152,0.015,0.342,-0.915
1592533079759,2020-06-19T12.17.59.759,0.163,0.014,0.334,-0.917
1592533079769,2020-06-19T12.17.59.769,0.173,0.011,0.330,-0.913
1592533079779,2020-06-19T12.17.59.779,0.183,0.009,0.340,-0.912
1592533079789,2020-06-19T12.17.59.789,0.193,0.011,0.354,-0.907
1592533079800,2020-06-19T12.17.59.800,0.204,0.011,0.366,-0.901
1592533079810,2020-06-19T12.17.59.810,0.214,0.011,0.373,-0.893
1592533079820,2020-06-19T12.17.59.820,0.224,0.005,0.388,-0.870
1592533079830,2020-06-19T12.17.59.830,0.234,-0.004,0.400,-0.878
1592533079841,2020-06-19T12.17.59.841,0.245,-0.001,0.407,-0.894
1592533079849,2020-06-19T12.17.59.849,0.253,0.006,0.385,-0.890
1592533079860,2020-06-19T12.17.59.860,0.264,0.013,0.359,-0.898
1592533079870,2020-06-19T12.17.59.870,0.274,0.009,0.349,-0.911
1592533079880,2020-06-19T12.17.59.880,0.284,0.011,0.346,-0.916
1592533079890,2020-06-19T12.17.59.890,0.294,0.009,0.338,-0.911
1592533079901,2020-06-19T12.17.59.901,0.305,0.016,0.351,-0.904
1592533079911,2020-06-19T12.17.59.911,0.315,0.022,0.362,-0.896
1592533079921,2020-06-19T12.17.59.921,0.325,0.021,0.372,-0.900
1592533079931,2020-06-19T12.17.59.931,0.335,0.018,0.386,-0.898
1592533079942,2020-06-19T12.17.59.942,0.346,0.004,0.375,-0.891
1592533079952,2020-06-19T12.17.59.952,0.356,0.006,0.367,-0.892
1592533079962,2020-06-19T12.17.59.962,0.366,0.015,0.368,-0.900
1592533079972,2020-06-19T12.17.59.972,0.376,0.016,0.363,-0.902
1592533079983,2020-06-19T12.17.59.983,0.387,0.019,0.358,-0.904
1592533079993,2020-06-19T12.17.59.993,0.397,0.022,0.351,-0.910
1592533080002,2020-06-19T12.18.00.002,0.406,0.025,0.349,-0.909
1592533080012,2020-06-19T12.18.00.012,0.416,0.021,0.356,-0.899
1592533080022,2020-06-19T12.18.00.022,0.426,0.012,0.361,-0.896
1592533080033,2020-06-19T12.18.00.033,0.437,0.010,0.369,-0.896
1592533080043,2020-06-19T12.18.00.043,0.447,0.012,0.363,-0.896
1592533080053,2020-06-19T12.18.00.053,0.457,0.018,0.356,-0.902
1592533080063,2020-06-19T12.18.00.063,0.467,0.019,0.350,-0.908
1592533080074,2020-06-19T12.18.00.074,0.478,0.021,0.346,-0.907
1592533080084,2020-06-19T12.18.00.084,0.488,0.025,0.349,-0.909
1592533080094,2020-06-19T12.18.00.094,0.498,0.029,0.352,-0.903
1592533080104,2020-06-19T12.18.00.104,0.508,0.024,0.361,-0.899
1592533080115,2020-06-19T12.18.00.115,0.519,0.020,0.371,-0.900
1592533080125,2020-06-19T12.18.00.125,0.529,0.021,0.367,-0.898
1592533080135,2020-06-19T12.18.00.135,0.539,0.018,0.361,-0.897
1592533080145,2020-06-19T12.18.00.145,0.549,0.014,0.359,-0.898
1592533080154,2020-06-19T12.18.00.154,0.558,0.009,0.371,-0.898
1592533080164,2020-06-19T12.18.00.164,0.568,0.016,0.373,-0.896
1592533080175,2020-06-19T12.18.00.175,0.579,0.020,0.364,-0.893
1592533080185,2020-06-19T12.18.00.185,0.589,0.027,0.364,-0.903
1592533080195,2020-06-19T12.18.00.195,0.599,0.029,0.364,-0.908
1592533080205,2020-06-19T12.18.00.205,0.609,0.025,0.356,-0.900
1592533080216,2020-06-19T12.18.00.216,0.620,0.024,0.360,-0.901
1592533080226,2020-06-19T12.18.00.226,0.630,0.030,0.363,-0.900
1592533080236,2020-06-19T12.18.00.236,0.640,0.029,0.367,-0.900
1592533080246,2020-06-19T12.18.00.246,0.650,0.023,0.361,-0.902
1592533080257,2020-06-19T12.18.00.257,0.661,0.024,0.359,-0.898
1592533080267,2020-06-19T12.18.00.267,0.671,0.022,0.369,-0.895
1592533080277,2020-06-19T12.18.00.277,0.681,0.017,0.360,-0.898
1592533080287,2020-06-19T12.18.00.287,0.691,0.024,0.356,-0.899
1592533080298,2020-06-19T12.18.00.298,0.702,0.031,0.360,-0.905
1592533080306,2020-06-19T12.18.00.306,0.710,0.032,0.357,-0.904
1592533080317,2020-06-19T12.18.00.317,0.721,0.031,0.360,-0.898
1592533080327,2020-06-19T12.18.00.327,0.731,0.034,0.360,-0.902
1592533080337,2020-06-19T12.18.00.337,0.741,0.033,0.355,-0.902
1592533080347,2020-06-19T12.18.00.347,0.751,0.029,0.359,-0.902
1592533080358,2020-06-19T12.18.00.358,0.762,0.028,0.362,-0.897
1592533080368,2020-06-19T12.18.00.368,0.772,0.025,0.359,-0.898
1592533080378,2020-06-19T12.18.00.378,0.782,0.026,0.359,-0.898
1592533080388,2020-06-19T12.18.00.388,0.792,0.029,0.357,-0.898
1592533080399,2020-06-19T12.18.00.399,0.803,0.032,0.358,-0.903
1592533080409,2020-06-19T12.18.00.409,0.813,0.035,0.354,-0.903
1592533080419,2020-06-19T12.18.00.419,0.823,0.032,0.352,-0.904
1592533080429,2020-06-19T12.18.00.429,0.833,0.037,0.353,-0.905
1592533080440,2020-06-19T12.18.00.440,0.844,0.039,0.361,-0.906
1592533080450,2020-06-19T12.18.00.450,0.854,0.038,0.360,-0.900
1592533080460,2020-06-19T12.18.00.460,0.864,0.030,0.360,-0.895
1592533080469,2020-06-19T12.18.00.469,0.873,0.029,0.362,-0.900
1592533080479,2020-06-19T12.18.00.479,0.883,0.033,0.358,-0.895
1592533080490,2020-06-19T12.18.00.490,0.894,0.035,0.354,-0.899
1592533080500,2020-06-19T12.18.00.500,0.904,0.036,0.358,-0.902
1592533080510,2020-06-19T12.18.00.510,0.914,0.040,0.353,-0.907
1592533080520,2020-06-19T12.18.00.520,0.924,0.039,0.349,-0.906
1592533080531,2020-06-19T12.18.00.531,0.935,0.036,0.354,-0.906
1592533080541,2020-06-19T12.18.00.541,0.945,0.032,0.359,-0.901
1592533080551,2020-06-19T12.18.00.551,0.955,0.032,0.360,-0.895
1592533080561,2020-06-19T12.18.00.561,0.965,0.028,0.361,-0.894
1592533080572,2020-06-19T12.18.00.572,0.976,0.037,0.356,-0.901
1592533080582,2020-06-19T12.18.00.582,0.986,0.046,0.371,-0.905
1592533080592,2020-06-19T12.18.00.592,0.996,0.032,0.335,-0.906
1592533080602,2020-06-19T12.18.00.602,1.006,0.026,0.355,-0.894
1592533080613,2020-06-19T12.18.00.613,1.017,0.031,0.360,-0.900
1592533080621,2020-06-19T12.18.00.621,1.025,0.030,0.362,-0.901
1592533080632,2020-06-19T12.18.00.632,1.036,0.031,0.359,-0.899
1592533080642,2020-06-19T12.18.00.642,1.046,0.032,0.360,-0.896
1592533080652,2020-06-19T12.18.00.652,1.056,0.032,0.364,-0.900
1592533080662,2020-06-19T12.18.00.662,1.066,0.033,0.361,-0.898
1592533080673,2020-06-19T12.18.00.673,1.077,0.034,0.364,-0.897
1592533080683,2020-06-19T12.18.00.683,1.087,0.032,0.366,-0.899
1592533080693,2020-06-19T12.18.00.693,1.097,0.034,0.366,-0.903
1592533080703,2020-06-19T12.18.00.703,1.107,0.031,0.354,-0.899
1592533080714,2020-06-19T12.18.00.714,1.118,0.036,0.354,-0.902
