epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1592533079616,2020-06-19T12.17.59.616,0.000,4.024,1.524,-2.439
1592533079627,2020-06-19T12.17.59.627,0.011,4.024,1.646,-2.744
1592533079637,2020-06-19T12.17.59.637,0.021,3.415,1.280,-3.049
1592533079647,2020-06-19T12.17.59.647,0.031,2.317,1.341,-3.110
1592533079658,2020-06-19T12.17.59.658,0.042,0.549,1.098,-2.866
1592533079668,2020-06-19T12.17.59.668,0.052,-0.610,0.915,-2.134
1592533079678,2020-06-19T12.17.59.678,0.062,-0.854,1.402,-1.280
1592533079688,2020-06-19T12.17.59.688,0.072,-1.524,1.341,-0.183
1592533079697,2020-06-19T12.17.59.697,0.081,-2.500,0.854,0.671
1592533079707,2020-06-19T12.17.59.707,0.091,-2.927,0.061,1.159
1592533079718,2020-06-19T12.17.59.718,0.102,-2.622,-0.549,0.976
1592533079728,2020-06-19T12.17.59.728,0.112,-2.927,-0.976,0.610
1592533079738,2020-06-19T12.17.59.738,0.122,-3.537,-1.220,0.427
1592533079748,2020-06-19T12.17.59.748,0.132,-4.451,-1.646,0.366
1592533079759,2020-06-19T12.17.59.759,0.143,-6.280,-2.866,0.061
1592533079769,2020-06-19T12.17.59.769,0.153,-8.841,-4.268,-0.122
1592533079779,2020-06-19T12.17.59.779,0.163,-12.073,-5.488,-0.305
1592533079789,2020-06-19T12.17.59.789,0.173,-14.024,-6.524,-0.671
1592533079800,2020-06-19T12.17.59.800,0.184,-13.780,-6.646,-0.976
1592533079810,2020-06-19T12.17.59.810,0.194,-12.988,-5.915,-1.341
1592533079820,2020-06-19T12.17.59.820,0.204,-9.451,-3.476,-1.524
1592533079830,2020-06-19T12.17.59.830,0.214,-2.317,2.317,-1.524
1592533079841,2020-06-19T12.17.59.841,0.225,0.793,5.488,-1.890
1592533079849,2020-06-19T12.17.59.849,0.233,2.195,6.402,-2.256
1592533079860,2020-06-19T12.17.59.860,0.244,3.476,6.646,-1.768
1592533079870,2020-06-19T12.17.59.870,0.254,2.439,5.366,-0.671
1592533079880,2020-06-19T12.17.59.880,0.264,0.915,3.354,0.610
1592533079890,2020-06-19T12.17.59.890,0.274,-1.098,1.402,1.463
1592533079901,2020-06-19T12.17.59.901,0.285,-3.110,0.366,1.646
1592533079911,2020-06-19T12.17.59.911,0.295,-2.622,-0.061,1.341
1592533079921,2020-06-19T12.17.59.921,0.305,-1.280,0.122,1.098
1592533079931,2020-06-19T12.17.59.931,0.315,-0.061,1.037,1.159
1592533079942,2020-06-19T12.17.59.942,0.326,2.134,2.622,0.671
1592533079952,2020-06-19T12.17.59.952,0.336,2.683,3.537,0.244
1592533079962,2020-06-19T12.17.59.962,0.346,2.683,4.268,0.183
1592533079972,2020-06-19T12.17.59.972,0.356,3.171,4.085,0.488
1592533079983,2020-06-19T12.17.59.983,0.367,2.195,3.171,0.488
1592533079993,2020-06-19T12.17.59.993,0.377,0.366,1.951,0.488
1592533080002,2020-06-19T12.18.00.002,0.386,-0.305,0.305,0.976
1592533080012,2020-06-19T12.18.00.012,0.396,0.061,-0.366,1.402
1592533080022,2020-06-19T12.18.00.022,0.406,0.671,0.732,1.280
1592533080033,2020-06-19T12.18.00.033,0.417,1.402,2.195,0.610
1592533080043,2020-06-19T12.18.00.043,0.427,2.195,3.598,0.122
1592533080053,2020-06-19T12.18.00.053,0.437,2.378,4.329,-0.183
1592533080063,2020-06-19T12.18.00.063,0.447,1.159,3.537,-0.244
1592533080074,2020-06-19T12.18.00.074,0.458,-0.305,2.256,-0.183
1592533080084,2020-06-19T12.18.00.084,0.468,-1.951,0.854,-0.061
1592533080094,2020-06-19T12.18.00.094,0.478,-3.841,-0.488,0.122
1592533080104,2020-06-19T12.18.00.104,0.488,-4.329,-1.037,0.122
1592533080115,2020-06-19T12.18.00.115,0.499,-3.110,-0.549,0.000
1592533080125,2020-06-19T12.18.00.125,0.509,-2.317,-0.061,-0.244
1592533080135,2020-06-19T12.18.00.135,0.519,-2.073,0.183,-0.122
1592533080145,2020-06-19T12.18.00.145,0.529,-1.890,0.122,0.244
1592533080156,2020-06-19T12.18.00.156,0.540,-1.037,0.671,0.732
1592533080164,2020-06-19T12.18.00.164,0.548,0.915,2.256,0.793
1592533080175,2020-06-19T12.18.00.175,0.559,1.463,3.476,0.488
1592533080185,2020-06-19T12.18.00.185,0.569,0.549,3.780,0.122
1592533080195,2020-06-19T12.18.00.195,0.579,-0.122,2.561,0.061
1592533080205,2020-06-19T12.18.00.205,0.589,-0.305,1.585,0.366
1592533080216,2020-06-19T12.18.00.216,0.600,-0.610,1.463,0.427
1592533080226,2020-06-19T12.18.00.226,0.610,-0.976,1.159,0.122
1592533080236,2020-06-19T12.18.00.236,0.620,-0.671,0.671,0.061
1592533080246,2020-06-19T12.18.00.246,0.630,-0.244,0.305,0.061
1592533080257,2020-06-19T12.18.00.257,0.641,0.244,0.183,0.000
1592533080267,2020-06-19T12.18.00.267,0.651,1.159,1.098,0.061
1592533080277,2020-06-19T12.18.00.277,0.661,1.829,2.866,0.061
1592533080287,2020-06-19T12.18.00.287,0.671,2.195,3.171,0.122
1592533080298,2020-06-19T12.18.00.298,0.682,1.646,2.744,0.488
1592533080308,2020-06-19T12.18.00.308,0.692,0.793,1.890,0.793
1592533080317,2020-06-19T12.18.00.317,0.701,0.061,1.220,0.793
1592533080327,2020-06-19T12.18.00.327,0.711,-0.305,0.732,0.793
1592533080337,2020-06-19T12.18.00.337,0.721,-0.793,0.122,0.854
1592533080347,2020-06-19T12.18.00.347,0.731,-1.037,-0.305,0.915
1592533080358,2020-06-19T12.18.00.358,0.742,-0.305,0.244,0.671
1592533080368,2020-06-19T12.18.00.368,0.752,-0.366,1.341,0.488
1592533080378,2020-06-19T12.18.00.378,0.762,0.366,2.256,0.244
1592533080388,2020-06-19T12.18.00.388,0.772,1.524,3.049,0.000
1592533080399,2020-06-19T12.18.00.399,0.783,1.341,3.293,-0.244
1592533080409,2020-06-19T12.18.00.409,0.793,1.585,3.354,-0.183
1592533080419,2020-06-19T12.18.00.419,0.803,1.280,2.927,0.122
1592533080429,2020-06-19T12.18.00.429,0.813,0.061,1.890,0.061
1592533080440,2020-06-19T12.18.00.440,0.824,-0.793,0.610,0.305
1592533080450,2020-06-19T12.18.00.450,0.834,-1.220,-0.549,0.366
1592533080460,2020-06-19T12.18.00.460,0.844,-0.915,-0.366,0.305
1592533080469,2020-06-19T12.18.00.469,0.853,0.244,0.976,0.061
1592533080479,2020-06-19T12.18.00.479,0.863,1.220,1.829,0.122
1592533080490,2020-06-19T12.18.00.490,0.874,1.829,2.195,0.305
1592533080500,2020-06-19T12.18.00.500,0.884,1.585,1.646,0.366
1592533080510,2020-06-19T12.18.00.510,0.894,0.366,0.793,0.183
1592533080520,2020-06-19T12.18.00.520,0.904,-0.793,-0.183,0.122
