epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1592533079574,2020-06-19T12.17.59.574,0.000,0.000282750,0.000093938,0.000040875
1592533079615,2020-06-19T12.17.59.615,0.041,0.000283125,0.000094313,0.000041625
1592533079655,2020-06-19T12.17.59.655,0.081,0.000282750,0.000087750,0.000041688
1592533079694,2020-06-19T12.17.59.694,0.120,0.000283125,0.000093563,0.000042063
1592533079734,2020-06-19T12.17.59.734,0.160,0.000283125,0.000094688,0.000041313
1592533079775,2020-06-19T12.17.59.775,0.201,0.000283125,0.000093563,0.000042063
1592533079814,2020-06-19T12.17.59.814,0.240,0.000282063,0.000094313,0.000040875
1592533079854,2020-06-19T12.17.59.854,0.280,0.000283500,0.000095063,0.000040875
1592533079893,2020-06-19T12.17.59.893,0.319,0.000283875,0.000095750,0.000041313
1592533079934,2020-06-19T12.17.59.934,0.360,0.000282813,0.000095000,0.000041313
1592533079974,2020-06-19T12.17.59.974,0.400,0.000283188,0.000094313,0.000041313
1592533080013,2020-06-19T12.18.00.013,0.439,0.000283188,0.000094313,0.000041688
1592533080054,2020-06-19T12.18.00.054,0.480,0.000283188,0.000095063,0.000042125
1592533080094,2020-06-19T12.18.00.094,0.520,0.000282813,0.000094688,0.000041688
1592533080134,2020-06-19T12.18.00.134,0.560,0.000284250,0.000095063,0.000043313
1592533080173,2020-06-19T12.18.00.173,0.599,0.000283563,0.000095375,0.000041688
1592533080214,2020-06-19T12.18.00.214,0.640,0.000283563,0.000095063,0.000042125
1592533080254,2020-06-19T12.18.00.254,0.680,0.000283188,0.000091063,0.000042500
1592533080293,2020-06-19T12.18.00.293,0.719,0.000283875,0.000095750,0.000042125
1592533080333,2020-06-19T12.18.00.333,0.759,0.000284250,0.000095063,0.000041688
1592533080374,2020-06-19T12.18.00.374,0.800,0.000284250,0.000094313,0.000042500
1592533080413,2020-06-19T12.18.00.413,0.839,0.000282813,0.000094313,0.000041688
1592533080453,2020-06-19T12.18.00.453,0.879,0.000283188,0.000094688,0.000041313
1592533080492,2020-06-19T12.18.00.492,0.918,0.000283188,0.000094313,0.000043313
1592533080533,2020-06-19T12.18.00.533,0.959,0.000283188,0.000093563,0.000041688
1592533080573,2020-06-19T12.18.00.573,0.999,0.000283563,0.000095063,0.000042500
1592533080613,2020-06-19T12.18.00.613,1.039,0.000284250,0.000093563,0.000041688
1592533080654,2020-06-19T12.18.00.654,1.080,0.000281375,0.000094688,0.000043688
1592533080693,2020-06-19T12.18.00.693,1.119,0.000283500,0.000094688,0.000042875
1592533080733,2020-06-19T12.18.00.733,1.159,0.000283500,0.000095063,0.000043250
1592533080772,2020-06-19T12.18.00.772,1.198,0.000283875,0.000093250,0.000043313
1592533080813,2020-06-19T12.18.00.813,1.239,0.000282813,0.000094313,0.000042500
1592533080853,2020-06-19T12.18.00.853,1.279,0.000282813,0.000095375,0.000043313
1592533080892,2020-06-19T12.18.00.892,1.318,0.000283188,0.000095750,0.000042875
1592533080932,2020-06-19T12.18.00.932,1.358,0.000283563,0.000095750,0.000042500
1592533080973,2020-06-19T12.18.00.973,1.399,0.000283938,0.000095063,0.000042500
1592533081012,2020-06-19T12.18.01.012,1.438,0.000283938,0.000095063,0.000042500
1592533081052,2020-06-19T12.18.01.052,1.478,0.000283563,0.000095063,0.000040938
1592533081092,2020-06-19T12.18.01.092,1.518,0.000283563,0.000094688,0.000042125
1592533081133,2020-06-19T12.18.01.133,1.559,0.000283563,0.000093938,0.000042500
1592533081172,2020-06-19T12.18.01.172,1.598,0.000283188,0.000095375,0.000042500
1592533081212,2020-06-19T12.18.01.212,1.638,0.000283188,0.000096125,0.000041313
1592533081253,2020-06-19T12.18.01.253,1.679,0.000281000,0.000095375,0.000039375
1592533081292,2020-06-19T12.18.01.292,1.718,0.000278813,0.000096500,0.000031875
1592533081332,2020-06-19T12.18.01.332,1.758,0.000275563,0.000096875,0.000029500
1592533081371,2020-06-19T12.18.01.371,1.797,0.000275188,0.000098313,0.000024813
1592533081412,2020-06-19T12.18.01.412,1.838,0.000273063,0.000094313,0.000020438
1592533081452,2020-06-19T12.18.01.452,1.878,0.000272313,0.000104500,0.000015313
1592533081491,2020-06-19T12.18.01.491,1.917,0.000271938,0.000104813,0.000015750
1592533081531,2020-06-19T12.18.01.531,1.957,0.000270875,0.000103375,0.000016500
1592533081572,2020-06-19T12.18.01.572,1.998,0.000271563,0.000104813,0.000017688
1592533081612,2020-06-19T12.18.01.612,2.038,0.000270125,0.000105188,0.000017313
1592533081651,2020-06-19T12.18.01.651,2.077,0.000270125,0.000105563,0.000018500
1592533081691,2020-06-19T12.18.01.691,2.117,0.000268313,0.000105188,0.000020063
1592533081732,2020-06-19T12.18.01.732,2.158,0.000270500,0.000105563,0.000022000
1592533081771,2020-06-19T12.18.01.771,2.197,0.000270500,0.000105938,0.000021625
1592533081811,2020-06-19T12.18.01.811,2.237,0.000271563,0.000105563,0.000023250
1592533081850,2020-06-19T12.18.01.850,2.276,0.000270875,0.000104813,0.000023625
1592533081891,2020-06-19T12.18.01.891,2.317,0.000272313,0.000105563,0.000024000
1592533081931,2020-06-19T12.18.01.931,2.357,0.000272313,0.000103375,0.000024000
1592533081970,2020-06-19T12.18.01.970,2.396,0.000274125,0.000101563,0.000023188
1592533082010,2020-06-19T12.18.02.010,2.436,0.000271938,0.000100875,0.000024000
1592533082051,2020-06-19T12.18.02.051,2.477,0.000271563,0.000103000,0.000020438
1592533082091,2020-06-19T12.18.02.091,2.517,0.000270125,0.000104500,0.000020438
1592533082130,2020-06-19T12.18.02.130,2.556,0.000270875,0.000105563,0.000021250
1592533082170,2020-06-19T12.18.02.170,2.596,0.000271563,0.000104813,0.000019688
1592533082211,2020-06-19T12.18.02.211,2.637,0.000271938,0.000105188,0.000020063
1592533082250,2020-06-19T12.18.02.250,2.676,0.000270875,0.000105938,0.000019250
1592533082290,2020-06-19T12.18.02.290,2.716,0.000270875,0.000105188,0.000019250
1592533082329,2020-06-19T12.18.02.329,2.755,0.000270125,0.000104125,0.000020438
1592533082370,2020-06-19T12.18.02.370,2.796,0.000270875,0.000104500,0.000020063
1592533082410,2020-06-19T12.18.02.410,2.836,0.000271188,0.000105188,0.000020875
1592533082450,2020-06-19T12.18.02.450,2.876,0.000269813,0.000104813,0.000020063
1592533082491,2020-06-19T12.18.02.491,2.917,0.000270500,0.000105188,0.000020875
1592533082530,2020-06-19T12.18.02.530,2.956,0.000270500,0.000104500,0.000021625
1592533082570,2020-06-19T12.18.02.570,2.996,0.000269750,0.000095750,0.000021625
1592533082609,2020-06-19T12.18.02.609,3.035,0.000269375,0.000104813,0.000022000
1592533082650,2020-06-19T12.18.02.650,3.076,0.000270125,0.000104500,0.000019250
1592533082690,2020-06-19T12.18.02.690,3.116,0.000269750,0.000106313,0.000021250
1592533082729,2020-06-19T12.18.02.729,3.155,0.000268688,0.000105188,0.000019688
1592533082769,2020-06-19T12.18.02.769,3.195,0.000268313,0.000105563,0.000019688
1592533082810,2020-06-19T12.18.02.810,3.236,0.000269063,0.000105188,0.000019250
1592533082849,2020-06-19T12.18.02.849,3.275,0.000269813,0.000104813,0.000019688
1592533082889,2020-06-19T12.18.02.889,3.315,0.000268000,0.000104500,0.000018500
1592533082929,2020-06-19T12.18.02.929,3.355,0.000269750,0.000105563,0.000019250
1592533082970,2020-06-19T12.18.02.970,3.396,0.000270125,0.000105563,0.000019688
